NEUTRAL TEMPERATURE (DEG K)                                                     
UT= 0.00 LAT=    2.50 (DEG)                                                     
VTGCM (DAY,HR,MIN=150, 0, 0)                                                    
Frame    1                                                                      
nx=  73 xx  LONGITUDE (DEG)                         
  0.17252E+03  0.17266E+03  0.17280E+03  0.17293E+03  0.17305E+03  0.17317E+03
  0.17328E+03  0.17339E+03  0.17349E+03  0.17357E+03  0.17360E+03  0.17358E+03
  0.17350E+03  0.17338E+03  0.17322E+03  0.17305E+03  0.17286E+03  0.17266E+03
  0.17245E+03  0.17225E+03  0.17207E+03  0.17191E+03  0.17177E+03  0.17166E+03
  0.17157E+03  0.17150E+03  0.17143E+03  0.17137E+03  0.17137E+03  0.17130E+03
  0.17123E+03  0.17115E+03  0.17108E+03  0.17100E+03  0.17093E+03  0.17088E+03
  0.17085E+03  0.17084E+03  0.17087E+03  0.17096E+03  0.17111E+03  0.17134E+03
  0.17166E+03  0.17206E+03  0.17253E+03  0.17303E+03  0.17352E+03  0.17397E+03
  0.17438E+03  0.17471E+03  0.17498E+03  0.17516E+03  0.17524E+03  0.17522E+03
  0.17510E+03  0.17491E+03  0.17467E+03  0.17438E+03  0.17407E+03  0.17375E+03
  0.17344E+03  0.17314E+03  0.17287E+03  0.17263E+03  0.16554E+03  0.16560E+03
  0.16568E+03  0.16578E+03  0.16590E+03  0.16603E+03  0.16618E+03  0.16634E+03
  0.16652E+03  0.16671E+03  0.16691E+03  0.16712E+03  0.16734E+03  0.16754E+03
  0.16774E+03  0.16794E+03  0.16812E+03  0.16826E+03  0.16833E+03  0.16829E+03
  0.16814E+03  0.16787E+03  0.16752E+03  0.16709E+03  0.16662E+03  0.16611E+03
  0.16559E+03  0.16507E+03  0.16457E+03  0.16411E+03  0.16369E+03  0.16331E+03
  0.16298E+03  0.16270E+03  0.16247E+03  0.16228E+03  0.16214E+03  0.16214E+03
  0.16205E+03  0.16200E+03  0.16200E+03  0.16206E+03  0.16217E+03  0.16233E+03
  0.16256E+03  0.16285E+03  0.16322E+03  0.16366E+03  0.16417E+03  0.16475E+03
  0.16536E+03  0.16601E+03  0.16664E+03  0.16724E+03  0.16773E+03  0.16809E+03
  0.16829E+03  0.16834E+03  0.16828E+03  0.16813E+03  0.16790E+03  0.16762E+03
  0.16729E+03  0.16695E+03  0.16661E+03  0.16631E+03  0.16605E+03  0.16583E+03
  0.16568E+03  0.16557E+03  0.16551E+03  0.16549E+03  0.16550E+03  0.16513E+03
  0.16532E+03  0.16548E+03  0.16561E+03  0.16569E+03  0.16573E+03  0.16573E+03
  0.16570E+03  0.16564E+03  0.16554E+03  0.16543E+03  0.16530E+03  0.16517E+03
