GEOPOTENTIAL HEIGHT (KM)                                                        
UT= 0.00 LAT=    2.50 (DEG)                                                     
VTGCM (DAY,HR,MIN=150, 0, 0)                                                    
Frame    1                                                                      
nx=  73 xx  LONGITUDE (DEG)                         
  0.75736E+02  0.75730E+02  0.75725E+02  0.75719E+02  0.75712E+02  0.75706E+02
  0.75700E+02  0.75693E+02  0.75685E+02  0.75677E+02  0.75669E+02  0.75662E+02
  0.75654E+02  0.75648E+02  0.75644E+02  0.75643E+02  0.75646E+02  0.75650E+02
  0.75655E+02  0.75663E+02  0.75674E+02  0.75686E+02  0.75701E+02  0.75715E+02
  0.75728E+02  0.75740E+02  0.75751E+02  0.75760E+02  0.75768E+02  0.75776E+02
  0.75782E+02  0.75787E+02  0.75791E+02  0.75792E+02  0.75792E+02  0.75793E+02
  0.75792E+02  0.75790E+02  0.75786E+02  0.75782E+02  0.75778E+02  0.75773E+02
  0.75768E+02  0.75761E+02  0.75753E+02  0.75745E+02  0.75738E+02  0.75730E+02
  0.75723E+02  0.75718E+02  0.75713E+02  0.75710E+02  0.75709E+02  0.75710E+02
  0.75713E+02  0.75717E+02  0.75723E+02  0.75729E+02  0.75736E+02  0.75743E+02
  0.75749E+02  0.75753E+02  0.75757E+02  0.75759E+02  0.75760E+02  0.75761E+02
  0.75760E+02  0.75758E+02  0.75756E+02  0.75753E+02  0.77674E+02  0.77669E+02
  0.77665E+02  0.77661E+02  0.77658E+02  0.77655E+02  0.77652E+02  0.77650E+02
  0.77647E+02  0.77646E+02  0.77643E+02  0.77640E+02  0.77636E+02  0.77632E+02
  0.77627E+02  0.77623E+02  0.77620E+02  0.77618E+02  0.77618E+02  0.77620E+02
  0.77622E+02  0.77625E+02  0.77629E+02  0.77635E+02  0.77643E+02  0.77652E+02
  0.77660E+02  0.77668E+02  0.77675E+02  0.77681E+02  0.77687E+02  0.77692E+02
  0.77697E+02  0.77701E+02  0.77704E+02  0.77705E+02  0.77706E+02  0.77706E+02
  0.77705E+02  0.77704E+02  0.77701E+02  0.77696E+02  0.77692E+02  0.77687E+02
  0.77682E+02  0.77678E+02  0.77672E+02  0.77666E+02  0.77661E+02  0.77657E+02
  0.77655E+02  0.77654E+02  0.77656E+02  0.77660E+02  0.77665E+02  0.77671E+02
  0.77679E+02  0.77687E+02  0.77695E+02  0.77703E+02  0.77709E+02  0.77714E+02
  0.77717E+02  0.77719E+02  0.77718E+02  0.77715E+02  0.77712E+02  0.77707E+02
  0.77701E+02  0.77696E+02  0.77690E+02  0.77684E+02  0.77679E+02  0.79570E+02
  0.79566E+02  0.79563E+02  0.79561E+02  0.79558E+02  0.79556E+02  0.79554E+02
  0.79552E+02  0.79551E+02  0.79551E+02  0.79550E+02  0.79549E+02  0.79548E+02
  0.79547E+02  0.79545E+02  0.79544E+02  0.79543E+02  0.79543E+02  0.79545E+02
  0.79547E+02  0.79547E+02  0.79546E+02  0.79545E+02  0.79545E+02  0.79546E+02
  0.79548E+02  0.79549E+02  0.79549E+02  0.79549E+02  0.79548E+02  0.79548E+02
  0.79547E+02  0.79547E+02  0.79546E+02  0.79545E+02  0.79544E+02  0.79542E+02
  0.79542E+02  0.79540E+02  0.79537E+02  0.79534E+02  0.79531E+02  0.79528E+02
  0.79526E+02  0.79526E+02  0.79526E+02  0.79527E+02  0.79529E+02  0.79533E+02
  0.79539E+02  0.79547E+02  0.79557E+02  0.79568E+02  0.79580E+02  0.79591E+02
  0.79600E+02  0.79608E+02  0.79614E+02  0.79618E+02  0.79620E+02  0.79621E+02
  0.79621E+02  0.79618E+02  0.79615E+02  0.79611E+02  0.79606E+02  0.79601E+02
  0.79595E+02  0.79590E+02  0.79586E+02  0.79581E+02  0.79577E+02  0.79573E+02
  0.81485E+02  0.81485E+02  0.81484E+02  0.81484E+02  0.81482E+02  0.81480E+02
  0.81478E+02  0.81475E+02  0.81471E+02  0.81468E+02  0.81464E+02  0.81459E+02
  0.81453E+02  0.81446E+02  0.81440E+02  0.81434E+02  0.81430E+02  0.81428E+02
  0.81427E+02  0.81427E+02  0.81425E+02  0.81423E+02  0.81420E+02  0.81418E+02
  0.81417E+02  0.81417E+02  0.81416E+02  0.81414E+02  0.81411E+02  0.81409E+02
  0.81406E+02  0.81404E+02  0.81402E+02  0.81401E+02  0.81400E+02  0.81399E+02
  0.81399E+02  0.81399E+02  0.81399E+02  0.81400E+02  0.81401E+02  0.81404E+02
  0.81407E+02  0.81412E+02  0.81418E+02  0.81425E+02  0.81432E+02  0.81438E+02
  0.81446E+02  0.81453E+02  0.81460E+02  0.81466E+02  0.81472E+02  0.81478E+02
  0.81481E+02  0.81482E+02  0.81482E+02  0.81481E+02  0.81480E+02  0.81480E+02
  0.81480E+02  0.81481E+02  0.81482E+02  0.81482E+02  0.81482E+02  0.81483E+02
  0.81483E+02  0.81483E+02  0.81483E+02  0.81484E+02  0.81485E+02  0.81485E+02
  0.81485E+02  0.83373E+02  0.83374E+02  0.83375E+02  0.83376E+02  0.83375E+02
  0.83374E+02  0.83371E+02  0.83367E+02  0.83363E+02  0.83359E+02  0.83353E+02
  0.83346E+02  0.83338E+02  0.83330E+02  0.83322E+02  0.83316E+02  0.83311E+02
  0.83309E+02  0.83309E+02  0.83310E+02  0.83309E+02  0.83308E+02  0.83306E+02
  0.83306E+02  0.83308E+02  0.83310E+02  0.83312E+02  0.83313E+02  0.83314E+02
  0.83315E+02  0.83316E+02  0.83318E+02  0.83321E+02  0.83324E+02  0.83327E+02
  0.83331E+02  0.83335E+02  0.83335E+02  0.83340E+02  0.83345E+02  0.83350E+02
