NEUTRAL TEMPERATURE (DEG K)                                                     
UT= 0.00 LAT=    2.50 (DEG)                                                     
VTGCM (DAY,HR,MIN=200, 0, 0)                                                    
Frame    1                                                                      
nx=  73 xx  LONGITUDE (DEG)                         
  0.17161E+03  0.17184E+03  0.17210E+03  0.17237E+03  0.17265E+03  0.17293E+03
  0.17322E+03  0.17352E+03  0.17382E+03  0.17409E+03  0.17432E+03  0.17447E+03
  0.17455E+03  0.17456E+03  0.17451E+03  0.17439E+03  0.17422E+03  0.17400E+03
  0.17373E+03  0.17344E+03  0.17315E+03  0.17286E+03  0.17259E+03  0.17235E+03
  0.17212E+03  0.17193E+03  0.17175E+03  0.17158E+03  0.17158E+03  0.17142E+03
  0.17126E+03  0.17110E+03  0.17095E+03  0.17080E+03  0.17065E+03  0.17052E+03
  0.17039E+03  0.17028E+03  0.17019E+03  0.17015E+03  0.17015E+03  0.17022E+03
  0.17038E+03  0.17062E+03  0.17095E+03  0.17132E+03  0.17173E+03  0.17214E+03
  0.17254E+03  0.17291E+03  0.17325E+03  0.17352E+03  0.17371E+03  0.17381E+03
  0.17381E+03  0.17373E+03  0.17358E+03  0.17338E+03  0.17313E+03  0.17286E+03
  0.17257E+03  0.17229E+03  0.17201E+03  0.17175E+03  0.16507E+03  0.16512E+03
  0.16521E+03  0.16534E+03  0.16551E+03  0.16570E+03  0.16592E+03  0.16614E+03
  0.16638E+03  0.16662E+03  0.16686E+03  0.16710E+03  0.16734E+03  0.16756E+03
  0.16779E+03  0.16803E+03  0.16827E+03  0.16852E+03  0.16872E+03  0.16885E+03
  0.16887E+03  0.16879E+03  0.16861E+03  0.16833E+03  0.16797E+03  0.16754E+03
  0.16704E+03  0.16649E+03  0.16591E+03  0.16534E+03  0.16477E+03  0.16424E+03
  0.16373E+03  0.16328E+03  0.16287E+03  0.16252E+03  0.16222E+03  0.16222E+03
  0.16198E+03  0.16179E+03  0.16166E+03  0.16158E+03  0.16156E+03  0.16160E+03
  0.16169E+03  0.16186E+03  0.16211E+03  0.16244E+03  0.16285E+03  0.16335E+03
  0.16393E+03  0.16456E+03  0.16523E+03  0.16589E+03  0.16649E+03  0.16699E+03
  0.16735E+03  0.16758E+03  0.16770E+03  0.16771E+03  0.16763E+03  0.16747E+03
  0.16723E+03  0.16695E+03  0.16664E+03  0.16632E+03  0.16602E+03  0.16576E+03
  0.16553E+03  0.16534E+03  0.16520E+03  0.16511E+03  0.16506E+03  0.16485E+03
  0.16518E+03  0.16549E+03  0.16577E+03  0.16603E+03  0.16623E+03  0.16638E+03
  0.16648E+03  0.16651E+03  0.16648E+03  0.16639E+03  0.16625E+03  0.16607E+03
  0.16587E+03  0.16565E+03  0.16546E+03  0.16530E+03  0.16518E+03  0.16505E+03
  0.16488E+03  0.16466E+03  0.16439E+03  0.16408E+03  0.16373E+03  0.16334E+03
  0.16290E+03  0.16244E+03  0.16196E+03  0.16148E+03  0.16102E+03  0.16059E+03
  0.16020E+03  0.15985E+03  0.15957E+03  0.15936E+03  0.15923E+03  0.15918E+03
  0.15918E+03  0.15922E+03  0.15934E+03  0.15955E+03  0.15984E+03  0.16020E+03
  0.16062E+03  0.16109E+03  0.16160E+03  0.16213E+03  0.16268E+03  0.16321E+03
  0.16370E+03  0.16412E+03  0.16445E+03  0.16467E+03  0.16477E+03  0.16473E+03
  0.16455E+03  0.16425E+03  0.16389E+03  0.16352E+03  0.16320E+03  0.16295E+03
  0.16276E+03  0.16264E+03  0.16259E+03  0.16261E+03  0.16271E+03  0.16286E+03
  0.16306E+03  0.16331E+03  0.16359E+03  0.16388E+03  0.16420E+03  0.16453E+03
  0.16467E+03  0.16492E+03  0.16514E+03  0.16532E+03  0.16545E+03  0.16552E+03
  0.16553E+03  0.16547E+03  0.16535E+03  0.16517E+03  0.16494E+03  0.16466E+03
  0.16435E+03  0.16403E+03  0.16371E+03  0.16344E+03  0.16323E+03  0.16309E+03
  0.16299E+03  0.16290E+03  0.16283E+03  0.16276E+03  0.16271E+03  0.16267E+03
  0.16264E+03  0.16260E+03  0.16257E+03  0.16255E+03  0.16254E+03  0.16255E+03
  0.16259E+03  0.16265E+03  0.16273E+03  0.16286E+03  0.16302E+03  0.16322E+03
  0.16346E+03  0.16346E+03  0.16373E+03  0.16403E+03  0.16434E+03  0.16466E+03
  0.16496E+03  0.16522E+03  0.16543E+03  0.16558E+03  0.16565E+03  0.16564E+03
  0.16552E+03  0.16528E+03  0.16494E+03  0.16449E+03  0.16397E+03  0.16339E+03
  0.16279E+03  0.16220E+03  0.16167E+03  0.16126E+03  0.16100E+03  0.16091E+03
  0.16096E+03  0.16112E+03  0.16134E+03  0.16162E+03  0.16192E+03  0.16224E+03
  0.16256E+03  0.16288E+03  0.16320E+03  0.16351E+03  0.16381E+03  0.16411E+03
  0.16440E+03  0.16133E+03  0.16133E+03  0.16132E+03  0.16129E+03  0.16125E+03
