GEOPOTENTIAL HEIGHT (KM)                                                        
UT= 0.00 LAT=    2.50 (DEG)                                                     
VTGCM (DAY,HR,MIN=300, 0, 0)                                                    
Frame    1                                                                      
nx=  73 xx  LONGITUDE (DEG)                         
  0.76704E+02  0.76697E+02  0.76689E+02  0.76681E+02  0.76672E+02  0.76664E+02
  0.76656E+02  0.76647E+02  0.76637E+02  0.76626E+02  0.76615E+02  0.76603E+02
  0.76593E+02  0.76584E+02  0.76577E+02  0.76575E+02  0.76575E+02  0.76578E+02
  0.76582E+02  0.76587E+02  0.76595E+02  0.76605E+02  0.76615E+02  0.76625E+02
  0.76635E+02  0.76643E+02  0.76651E+02  0.76660E+02  0.76669E+02  0.76679E+02
  0.76689E+02  0.76699E+02  0.76708E+02  0.76717E+02  0.76717E+02  0.76724E+02
  0.76731E+02  0.76736E+02  0.76739E+02  0.76743E+02  0.76746E+02  0.76749E+02
  0.76751E+02  0.76752E+02  0.76753E+02  0.76752E+02  0.76752E+02  0.76750E+02
  0.76749E+02  0.76749E+02  0.76748E+02  0.76746E+02  0.76745E+02  0.76743E+02
  0.76742E+02  0.76741E+02  0.76741E+02  0.76742E+02  0.76742E+02  0.76742E+02
  0.76743E+02  0.76742E+02  0.76742E+02  0.76741E+02  0.76740E+02  0.76739E+02
  0.76738E+02  0.76735E+02  0.76732E+02  0.76728E+02  0.79043E+02  0.79037E+02
  0.79030E+02  0.79022E+02  0.79015E+02  0.79007E+02  0.78999E+02  0.78991E+02
  0.78984E+02  0.78976E+02  0.78968E+02  0.78957E+02  0.78945E+02  0.78931E+02
  0.78917E+02  0.78902E+02  0.78889E+02  0.78879E+02  0.78872E+02  0.78869E+02
  0.78869E+02  0.78870E+02  0.78874E+02  0.78882E+02  0.78893E+02  0.78906E+02
  0.78920E+02  0.78933E+02  0.78945E+02  0.78958E+02  0.78970E+02  0.78982E+02
  0.78995E+02  0.79007E+02  0.79019E+02  0.79029E+02  0.79037E+02  0.79037E+02
  0.79044E+02  0.79050E+02  0.79053E+02  0.79056E+02  0.79057E+02  0.79058E+02
  0.79059E+02  0.79059E+02  0.79056E+02  0.79053E+02  0.79048E+02  0.79042E+02
  0.79036E+02  0.79029E+02  0.79023E+02  0.79017E+02  0.79011E+02  0.79005E+02
  0.79000E+02  0.78998E+02  0.79000E+02  0.79004E+02  0.79010E+02  0.79018E+02
  0.79026E+02  0.79034E+02  0.79041E+02  0.79047E+02  0.79051E+02  0.79054E+02
  0.79056E+02  0.79057E+02  0.79055E+02  0.79053E+02  0.79048E+02  0.81264E+02
  0.81262E+02  0.81260E+02  0.81257E+02  0.81254E+02  0.81249E+02  0.81244E+02
  0.81239E+02  0.81234E+02  0.81228E+02  0.81220E+02  0.81211E+02  0.81200E+02
  0.81187E+02  0.81173E+02  0.81158E+02  0.81146E+02  0.81135E+02  0.81127E+02
  0.81121E+02  0.81116E+02  0.81112E+02  0.81111E+02  0.81114E+02  0.81122E+02
  0.81132E+02  0.81144E+02  0.81156E+02  0.81168E+02  0.81181E+02  0.81194E+02
  0.81207E+02  0.81220E+02  0.81232E+02  0.81243E+02  0.81252E+02  0.81259E+02
  0.81259E+02  0.81265E+02  0.81269E+02  0.81270E+02  0.81270E+02  0.81269E+02
  0.81267E+02  0.81263E+02  0.81259E+02  0.81251E+02  0.81242E+02  0.81232E+02
  0.81220E+02  0.81208E+02  0.81197E+02  0.81188E+02  0.81181E+02  0.81175E+02
  0.81171E+02  0.81170E+02  0.81173E+02  0.81181E+02  0.81192E+02  0.81205E+02
  0.81219E+02  0.81231E+02  0.81242E+02  0.81250E+02  0.81255E+02  0.81259E+02
  0.81262E+02  0.81264E+02  0.81265E+02  0.81265E+02  0.81265E+02  0.81265E+02
  0.83413E+02  0.83416E+02  0.83417E+02  0.83418E+02  0.83417E+02  0.83415E+02
  0.83412E+02  0.83409E+02  0.83405E+02  0.83400E+02  0.83394E+02  0.83386E+02
  0.83376E+02  0.83365E+02  0.83353E+02  0.83342E+02  0.83333E+02  0.83327E+02
  0.83322E+02  0.83317E+02  0.83310E+02  0.83303E+02  0.83298E+02  0.83296E+02
  0.83297E+02  0.83302E+02  0.83308E+02  0.83315E+02  0.83323E+02  0.83332E+02
  0.83342E+02  0.83352E+02  0.83362E+02  0.83372E+02  0.83381E+02  0.83388E+02
  0.83394E+02  0.83394E+02  0.83397E+02  0.83399E+02  0.83398E+02  0.83395E+02
  0.83391E+02  0.83385E+02  0.83377E+02  0.83368E+02  0.83356E+02  0.83342E+02
  0.83328E+02  0.83314E+02  0.83300E+02  0.83290E+02  0.83284E+02  0.83281E+02
  0.83282E+02  0.83285E+02  0.83291E+02  0.83300E+02  0.83313E+02  0.83328E+02
  0.83344E+02  0.83359E+02  0.83371E+02  0.83380E+02  0.83385E+02  0.83389E+02
  0.83392E+02  0.83394E+02  0.83396E+02  0.83399E+02  0.83403E+02  0.83406E+02
  0.83410E+02  0.85495E+02  0.85496E+02  0.85497E+02  0.85499E+02  0.85502E+02
  0.85505E+02  0.85507E+02  0.85511E+02  0.85514E+02  0.85516E+02  0.85517E+02
  0.85516E+02  0.85513E+02  0.85508E+02  0.85503E+02  0.85500E+02  0.85501E+02
  0.85504E+02  0.85508E+02  0.85510E+02  0.85507E+02  0.85501E+02  0.85494E+02
  0.85489E+02  0.85484E+02  0.85482E+02  0.85479E+02  0.85477E+02  0.85475E+02
  0.85475E+02  0.85476E+02  0.85479E+02  0.85482E+02  0.85485E+02  0.85488E+02
  0.85490E+02  0.85491E+02  0.85491E+02  0.85491E+02  0.85488E+02  0.85484E+02
  0.85478E+02  0.85471E+02  0.85462E+02  0.85453E+02  0.85442E+02  0.85431E+02
  0.85418E+02  0.85407E+02  0.85397E+02  0.85390E+02  0.85387E+02  0.85389E+02
  0.85395E+02  0.85402E+02  0.85410E+02  0.85417E+02  0.85426E+02  0.85437E+02
  0.85450E+02  0.85463E+02  0.85475E+02  0.85484E+02  0.85489E+02  0.85492E+02
  0.85494E+02  0.85494E+02  0.85494E+02  0.85494E+02  0.85494E+02  0.85494E+02
  0.85494E+02  0.85494E+02  0.87543E+02  0.87539E+02  0.87535E+02  0.87533E+02
  0.87533E+02  0.87534E+02  0.87537E+02  0.87541E+02  0.87547E+02  0.87553E+02
  0.87559E+02  0.87564E+02  0.87567E+02  0.87568E+02  0.87569E+02  0.87572E+02
  0.87579E+02  0.87590E+02  0.87604E+02  0.87616E+02  0.87625E+02  0.87629E+02
  0.87631E+02  0.87632E+02  0.87632E+02  0.87631E+02  0.87628E+02  0.87623E+02
  0.87618E+02  0.87613E+02  0.87607E+02  0.87603E+02  0.87599E+02  0.87596E+02
